POPULATION_GROUP_DESC,Count
"Cities 1,000,000 or over",2161
"Cities from 500,000 thru 999,999",1006
"Cities from 250,000 thru 499,999",841
"Cities from 100,000 thru 249,999",771
"Cities from 10,000 thru 24,999",718
"Cities from 50,000 thru 99,999",659
"Cities from 25,000 thru 49,999",600
"MSA counties 100,000 or over",535
"Cities from 2,500 thru 9,999",423
"Cities under 2,500",410
"MSA counties from 25,000 thru 99,999",139
"Non-MSA counties from 10,000 thru 24,999",60
"Non-MSA counties under 10,000",59
"Non-MSA counties from 25,000 thru 99,999",45
"MSA counties under 10,000",29
"MSA counties from 10,000 thru 24,999",27
